"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2746937,"December 21, 2023",Louisiana,Shreveport,"6600 block of Melara Ave",1,0,0,0,1,N/A
2747078,"November 4, 2023",Pennsylvania,Pittsburgh,"2115 Park Hill Dr",1,0,0,0,1,N/A
2747074,"November 4, 2023",Pennsylvania,Philadelphia,"6300 block of Vine St",1,0,0,0,0,N/A
2747029,"November 4, 2023",Michigan,Detroit,"Santa Maria Ave & Griggs Ave",1,0,0,0,0,N/A
2747014,"November 4, 2023",Missouri,"Saint Louis","Francis St and Dr Martin Luther King Dr",1,1,0,0,0,N/A
2746940,"November 4, 2023",Illinois,Chicago,"3100 block of W 39th Pl",3,0,0,0,0,N/A
2746851,"November 3, 2023",Florida,Tampa,"1100 Block of W Lemon St",1,0,0,0,0,N/A
2746836,"November 3, 2023",Florida,Miami,"12001 NW 27th Ave",0,0,1,0,0,N/A
2746827,"November 3, 2023",Florida,Miami,"10700 block of SW 84th Ave",1,0,0,0,1,N/A
2746740,"November 3, 2023",Utah,"Bountiful (West Bountiful)","350 N 545 W",1,0,0,0,1,N/A
2746611,"November 3, 2023",Kentucky,Shepherdsville,"261 N Buckman St",1,0,0,0,1,N/A
2746711,"November 3, 2023",Pennsylvania,Philadelphia,"300 block of N Gross St",1,0,0,0,0,N/A
2746669,"November 3, 2023",Indiana,Indianapolis,"2255 Ralston Ave",1,0,0,0,1,N/A
2747112,"November 3, 2023",Montana,Billings,"500 block of S 28th St",1,0,0,0,0,N/A
2747070,"November 3, 2023",Wisconsin,"Green Bay","1700 block of Western Ave",1,0,0,0,0,N/A
2747107,"November 3, 2023",Texas,"San Antonio","4900 block of Woodstone Dr",1,0,1,0,0,N/A
2747089,"November 3, 2023",Wisconsin,Milwaukee,"W Capitol Dr & N 25th St",1,0,0,0,0,N/A
2746381,"November 3, 2023","South Carolina","Myrtle Beach (Carolina Forest)","110 Chanticleer Village Dr",1,1,0,0,0,N/A
2746400,"November 3, 2023",Missouri,"Saint Louis","4400 block of San Francisco Ave",0,0,1,0,0,N/A
2746343,"November 3, 2023",Missouri,"Kansas City","4800 block of Independence Ave",1,0,0,0,0,N/A
2747035,"November 3, 2023",Alabama,Fairfield,"600 block of Jerry D Coleman St",1,0,0,0,0,N/A
2746983,"November 3, 2023",Ohio,"Cincinnati (Cheviot)","3200 block of Phoenix Ave",1,0,0,0,0,N/A
2746785,"November 3, 2023",Ohio,Cincinnati,"Jones St and Wade St",1,5,0,0,0,N/A
2746796,"November 3, 2023",Missouri,"Kansas City","6000 block of E 13th St",1,1,0,0,0,N/A
2746960,"November 3, 2023",Nebraska,Lincoln,"N 98th St and Adams St",1,1,0,0,0,N/A
2746857,"November 3, 2023",Alabama,Cusseta,"1300 block of Lee Road 275",1,0,0,0,0,N/A
2746190,"November 2, 2023",Alabama,Birmingham,"4567 Pinson Valley Pkwy",1,1,0,0,0,N/A
2746159,"November 2, 2023",Tennessee,Memphis,"6600 block of Crystal Hill Dr",2,1,0,0,0,N/A
2746121,"November 2, 2023","North Carolina","New Bern","Trent Ct",1,0,0,0,0,N/A
2746060,"November 2, 2023",Ohio,Marysville,"12780 Kaiser Rd",1,0,1,0,0,N/A
2746720,"November 2, 2023",Pennsylvania,Sunbury,"Market St",1,0,0,0,1,N/A
2745922,"November 2, 2023",Florida,Pensacola,"2300 block of W Blount St",1,0,0,0,0,N/A
2746440,"November 2, 2023",Wisconsin,Grafton,"900 block of Lakefield Rd",0,0,1,0,0,N/A
2745853,"November 2, 2023",California,Sacramento,"5240 Del Norte Blvd",1,0,0,0,0,N/A
2745842,"November 2, 2023",Texas,Elmendorf,"Streich Rd",1,0,0,0,0,N/A
2746376,"November 2, 2023","South Carolina","Hilton Head Island","Marshland Rd and Allen Rd",1,0,0,0,0,N/A
2746374,"November 2, 2023",Florida,"Fort Pierce","1 Ave A",1,0,0,0,0,N/A
2746231,"November 2, 2023",Virginia,Carrollton,"15000 block of Smiths Neck Rd",1,0,0,0,0,N/A
2746353,"November 2, 2023",Missouri,Bradleyville,N/A,1,0,0,0,1,N/A
2746258,"November 2, 2023",Ohio,Elyria,"1000 Chestnut Commons",1,0,0,0,1,N/A
2745672,"November 2, 2023",Texas,Pasadena,"1000 block of Satsuma St",1,0,0,0,0,N/A
2746280,"November 2, 2023",Illinois,Chicago,"6600 block of S Woodlawn Ave",1,0,0,0,0,N/A
2746182,"November 2, 2023",Ohio,Youngstown,"50 block of Oneta St",1,0,0,0,0,N/A
2745432,"November 1, 2023",Louisiana,Alexandria,"700 block of Willow Glen Rd",1,0,0,0,0,N/A
2746131,"November 1, 2023","North Carolina",Plymouth,"207 Brinkley Ave",2,0,0,0,0,N/A
2745294,"November 1, 2023",Florida,Welaka,"104 Penny Acres Ln",1,0,0,0,1,N/A
2745607,"November 1, 2023",Ohio,"Washington Court House","1000 block of E Paint St",0,0,1,0,0,N/A
2746037,"November 1, 2023","North Carolina",Charlotte,"3750 E Independence Blvd",1,0,0,0,0,N/A
2745778,"November 1, 2023",Louisiana,"Breaux Bridge (Henderson)","2900 block of Grand Point Hwy",1,1,0,0,1,N/A
2745177,"November 1, 2023",Texas,Humble,"17258 US-59 N",1,1,0,0,0,N/A
2745324,"November 1, 2023",Georgia,Atlanta,"1683 Lakewood Ave SE",1,0,0,0,0,N/A
2745297,"November 1, 2023",Tennessee,Martin,"5 Hillsboro St",1,0,0,0,1,N/A
2744806,"November 1, 2023","New Mexico",Albuquerque,"5th St SW and Atlantic Ave SW",1,0,0,0,0,N/A
2745760,"November 1, 2023",California,"Los Angeles","W 23rd St and Ellendale Pl",1,0,0,0,0,N/A
2745975,"November 1, 2023",Idaho,"Spirit Lake","401 Jefferson St",0,0,1,0,0,N/A
2744852,"November 1, 2023",Montana,Billings,"700 block of North 17th St",1,0,0,0,0,N/A
2744888,"November 1, 2023",Oregon,Salem,"1300 block of Vista Ave SE",0,1,1,0,0,N/A
2745098,"November 1, 2023","New York",Brooklyn,"211 E 94th St",1,0,0,0,0,N/A
2744914,"November 1, 2023",Pennsylvania,Homestead,"E 12th Ave",1,1,0,0,0,N/A
2744826,"November 1, 2023",Illinois,Chicago,"8322 S Dorchester Ave",2,0,0,0,0,N/A
2745712,"November 1, 2023",Ohio,Cleveland,"Pasadena Ave and E 105th St",1,1,0,0,0,N/A
2744974,"November 1, 2023",California,"Los Angeles","3148 W Pico Blvd",1,0,0,0,0,N/A
2745696,"November 1, 2023",Louisiana,"New Orleans","7000 block of Lawrence Rd",1,0,0,0,0,N/A
2745684,"November 1, 2023",Colorado,Pueblo,"1000 block of Cedar St",1,0,0,0,0,N/A
2745681,"November 1, 2023",Texas,Dallas,"3000 block of South Blvd",1,1,0,0,0,N/A
2745652,"November 1, 2023",Indiana,"Swayzee (Sims)","E Howard St and S Washington St",0,0,1,0,0,N/A
2745649,"November 1, 2023",Texas,Porter,"20100 block of Bitter Root Dr",1,0,0,0,0,N/A
2745678,"November 1, 2023",Indiana,Indianapolis,"10200 block of Aristocrat N Dr",1,0,0,0,1,N/A
2744735,"November 1, 2023",Arkansas,"Pine Bluff","1105 E 26th Ave",1,0,0,1,0,N/A
